Phylum,Assembly
Basidiomycota,GCA_900013405.1
Basidiomycota,GCA_900015505.1
Basidiomycota,GCA_022506015.1
Basidiomycota,GCA_022506095.1
Basidiomycota,GCA_022506105.1
Basidiomycota,GCA_900014965.1
Basidiomycota,GCA_022702565.1
Basidiomycota,GCA_022505995.1
Basidiomycota,GCA_900014955.1
Basidiomycota,GCA_009602455.1
Basidiomycota,GCA_900015415.1
Basidiomycota,GCA_900015425.1
Basidiomycota,GCA_900008855.1
Basidiomycota,GCA_900015495.1
Basidiomycota,GCA_900015435.1
Basidiomycota,GCA_900009495.1
Basidiomycota,GCA_900096595.1
Basidiomycota,GCA_003665835.1
Basidiomycota,GCA_022702625.1
Basidiomycota,GCA_900015475.1
Basidiomycota,GCA_900015975.1
Basidiomycota,GCA_900100905.1
Basidiomycota,GCA_900120095.1
Basidiomycota,GCA_000708205.1
Basidiomycota,GCF_000708205.1
Basidiomycota,GCA_000241205.2
Basidiomycota,GCA_000747765.1
Basidiomycota,GCF_000747765.1
Basidiomycota,GCA_000517465.1
Basidiomycota,GCA_023212605.1
Basidiomycota,GCA_030849465.1
Basidiomycota,GCA_003004715.1
Basidiomycota,GCA_003004725.1
Basidiomycota,GCA_031214725.1
Basidiomycota,GCA_900322835.1
Basidiomycota,GCA_031213555.1
Basidiomycota,GCA_928872045.1
Basidiomycota,GCA_000334475.1
Basidiomycota,GCA_003971905.1
Basidiomycota,GCA_001466705.2
Basidiomycota,GCA_000488995.1
Basidiomycota,GCF_000488995.1
Basidiomycota,GCA_000183025.1
Basidiomycota,GCF_000183025.1
Basidiomycota,GCA_001600395.1
Basidiomycota,GCA_024345305.1
Basidiomycota,GCA_001889225.1
Basidiomycota,GCA_000950635.1
Basidiomycota,GCA_036245725.1
Basidiomycota,GCA_000815965.1
Basidiomycota,GCA_017654745.1
Basidiomycota,GCA_022496185.1
Basidiomycota,GCA_014462675.1
Basidiomycota,GCA_029204075.1
Basidiomycota,GCA_029320655.1
Basidiomycota,GCA_029281495.1
Basidiomycota,GCA_029282495.1
Basidiomycota,GCA_029281465.1
Basidiomycota,GCA_029282125.1
Basidiomycota,GCA_029282285.1
Basidiomycota,GCA_029289555.1
Basidiomycota,GCA_029449255.1
Basidiomycota,GCA_029289565.1
Basidiomycota,GCA_029282135.1
Basidiomycota,GCA_029281795.1
Basidiomycota,GCA_029203975.1
Basidiomycota,GCA_029448575.1
Basidiomycota,GCA_029378385.1
Basidiomycota,GCA_029204335.1
Basidiomycota,GCA_029233265.1
Basidiomycota,GCA_029378255.1
Basidiomycota,GCA_029378375.1
Basidiomycota,GCA_029378395.1
Basidiomycota,GCA_029281435.1
Basidiomycota,GCA_014925785.1
Basidiomycota,GCA_014462655.1
Basidiomycota,GCA_014461135.1
Basidiomycota,GCF_014461135.1
Basidiomycota,GCA_014461125.1
Basidiomycota,GCA_014461115.1
Basidiomycota,GCA_029281405.1
Basidiomycota,GCA_963692855.1
Basidiomycota,GCA_029204085.1
Basidiomycota,GCA_023547045.1
Basidiomycota,GCA_029203985.1
Basidiomycota,GCA_003987915.1
Basidiomycota,GCA_001612595.1
Basidiomycota,GCA_021527695.1
Basidiomycota,GCA_002105065.1
Basidiomycota,GCA_033032075.1
Basidiomycota,GCA_033032605.1
Basidiomycota,GCA_033032035.1
Basidiomycota,GCA_033032055.1
Basidiomycota,GCA_001599735.1
Basidiomycota,GCA_030039215.1
Basidiomycota,GCA_022813745.1
Basidiomycota,GCA_013423385.1
Basidiomycota,GCA_015708705.1
Basidiomycota,GCA_030039245.1
Basidiomycota,GCA_030039255.1
Basidiomycota,GCA_012922715.1
Basidiomycota,GCA_012922685.1
Basidiomycota,GCA_013461525.1
Basidiomycota,GCA_030039265.1
Basidiomycota,GCA_025758675.1
Basidiomycota,GCA_023628155.1
Basidiomycota,GCA_024322255.1
Basidiomycota,GCA_023628175.1
Basidiomycota,GCA_001468955.1
Basidiomycota,GCA_012922635.1
Basidiomycota,GCA_012922605.1
Basidiomycota,GCA_001444555.1
Basidiomycota,GCA_019775365.1
Basidiomycota,GCA_030039275.1
Basidiomycota,GCA_001632425.1
Basidiomycota,GCA_001687445.1
Basidiomycota,GCA_000296255.1
Basidiomycota,GCA_028554645.1
Basidiomycota,GCA_015501605.1
Basidiomycota,GCA_002938355.1
Basidiomycota,GCA_013387415.1
Basidiomycota,GCA_022160315.1
Basidiomycota,GCA_031326905.1
Basidiomycota,GCA_000442785.1
Basidiomycota,GCA_035773095.1
Basidiomycota,GCA_032158125.1
Basidiomycota,GCA_019857685.1
Basidiomycota,GCA_012922615.1
Basidiomycota,GCA_012922625.1
Basidiomycota,GCA_000738825.1
Basidiomycota,GCA_000827475.1
Basidiomycota,GCA_014904835.1
Basidiomycota,GCA_000827395.1
Basidiomycota,GCA_001632445.1
Basidiomycota,GCA_900536885.1
Basidiomycota,GCA_943181505.1
Basidiomycota,GCA_943846425.1
Basidiomycota,GCA_025201825.1
Basidiomycota,GCA_019973155.2
Basidiomycota,GCA_000300595.1
Basidiomycota,GCF_000300595.1
Basidiomycota,GCA_000167175.1
Basidiomycota,GCA_002794735.1
Basidiomycota,GCA_021029095.1
Basidiomycota,GCA_011032875.1
Basidiomycota,GCA_027627325.1
Basidiomycota,GCA_011032875.1
Basidiomycota,GCA_027627325.1
Basidiomycota,GCA_000832265.1
Basidiomycota,GCA_035772785.1
Basidiomycota,GCA_020232755.1
Basidiomycota,GCA_021018615.1
Basidiomycota,GCA_000766925.2
Basidiomycota,GCA_009935795.1
Basidiomycota,GCA_003314615.1
Basidiomycota,GCA_014925825.1
Basidiomycota,GCA_015484465.1
Basidiomycota,GCA_000827315.1
Basidiomycota,GCA_024613185.1
Basidiomycota,GCA_024613165.1
Basidiomycota,GCA_024663395.1
Basidiomycota,GCA_024613125.1
Basidiomycota,GCF_024613125.1
Basidiomycota,GCA_024663475.1
Basidiomycota,GCA_024663515.1
Basidiomycota,GCA_024613145.1
Basidiomycota,GCA_024663435.1
Basidiomycota,GCA_000827275.1
Basidiomycota,GCA_024509395.1
Basidiomycota,GCA_024663415.1
Basidiomycota,GCA_000827335.1
Basidiomycota,GCA_024196135.1
Basidiomycota,GCA_019677325.2
Basidiomycota,GCA_014466165.1
Basidiomycota,GCF_014466165.1
Basidiomycota,GCA_029467805.1
Basidiomycota,GCA_036872985.1
Basidiomycota,GCA_012980535.1
Basidiomycota,GCA_017312325.1
Basidiomycota,GCA_014058305.1
Basidiomycota,GCA_019395345.1
Basidiomycota,GCA_002583695.1
Basidiomycota,GCA_029747585.1
Basidiomycota,GCA_032158425.1
Basidiomycota,GCA_026743855.1
Basidiomycota,GCA_003313735.1
Basidiomycota,GCA_005298045.1
Basidiomycota,GCA_024196135.1
Basidiomycota,GCA_947034855.1
Basidiomycota,GCA_029852705.2
Basidiomycota,GCA_003313235.2
Basidiomycota,GCA_001956935.2
Basidiomycota,GCA_947034875.1
Basidiomycota,GCA_000697685.1
Basidiomycota,GCA_003243765.1
Basidiomycota,GCA_001717165.1
Basidiomycota,GCA_015484515.1
Basidiomycota,GCA_029467795.1
Basidiomycota,GCA_029874175.1
Basidiomycota,GCA_029874165.1
Basidiomycota,GCA_003243755.1
Basidiomycota,GCA_002847145.1
Basidiomycota,GCA_003313115.1
Basidiomycota,GCA_012979565.1
Basidiomycota,GCA_012980525.1
Basidiomycota,GCA_032158505.1
Basidiomycota,GCA_003314595.1
Basidiomycota,GCA_019693315.1
Basidiomycota,GCA_002933715.1
Basidiomycota,GCA_003314355.1
Basidiomycota,GCA_001742905.1
Basidiomycota,GCA_036873075.1
Basidiomycota,GCA_024195665.1
Basidiomycota,GCA_003314755.1
Basidiomycota,GCA_000827205.1
Basidiomycota,GCA_004369065.1
Basidiomycota,GCA_001792895.1
Basidiomycota,GCA_004369055.1
Basidiomycota,GCA_003367725.1
Basidiomycota,GCA_002794775.1
Basidiomycota,GCA_002117355.1
Basidiomycota,GCF_002117355.1
Basidiomycota,GCA_015832375.1
Basidiomycota,GCA_000006255.1
Basidiomycota,GCF_000006255.1
Basidiomycota,GCA_003144135.1
Basidiomycota,GCF_003144135.1
Basidiomycota,GCA_023212835.1
Basidiomycota,GCA_023212685.1
Basidiomycota,GCA_000403515.1
Basidiomycota,GCF_000403515.1
Basidiomycota,GCA_000417875.1
Basidiomycota,GCF_000417875.1
Basidiomycota,GCA_003004685.1
Basidiomycota,GCA_001736125.1
Basidiomycota,GCA_037039655.1
Basidiomycota,GCA_030142165.1
Basidiomycota,GCA_001736105.1
Basidiomycota,GCA_900322975.1
Basidiomycota,GCA_023212635.2
Basidiomycota,GCA_017499595.2
Basidiomycota,GCF_017499595.1
Basidiomycota,GCA_013368295.1
Basidiomycota,GCA_023853805.1
Basidiomycota,GCA_023853785.1
Basidiomycota,GCA_027604855.1
Basidiomycota,GCA_002938375.1
Basidiomycota,GCA_019904355.1
Basidiomycota,GCA_019721455.1
Basidiomycota,GCA_033735195.1
Basidiomycota,GCA_033734935.1
Basidiomycota,GCA_033734995.1
Basidiomycota,GCA_033735215.1
Basidiomycota,GCA_033735455.1
Basidiomycota,GCA_033734955.1
Basidiomycota,GCA_033735395.1
Basidiomycota,GCA_033735295.1
Basidiomycota,GCA_033734975.1
Basidiomycota,GCA_033735315.1
Basidiomycota,GCA_033735415.1
Basidiomycota,GCA_033735155.1
Basidiomycota,GCA_033735235.1
Basidiomycota,GCA_033735355.1
Basidiomycota,GCA_033734215.1
Basidiomycota,GCA_033735485.1
Basidiomycota,GCA_033735545.1
Basidiomycota,GCA_033734185.1
Basidiomycota,GCA_033735255.1
Basidiomycota,GCA_033735275.1
Basidiomycota,GCA_033735375.1
Basidiomycota,GCA_033735035.1
Basidiomycota,GCA_033735175.1
Basidiomycota,GCA_033734195.1
Basidiomycota,GCA_033735335.1
Basidiomycota,GCA_033735135.1
Basidiomycota,GCA_033735435.1
Basidiomycota,GCA_033734205.1
Basidiomycota,GCA_033735055.1
Basidiomycota,GCA_033735075.1
Basidiomycota,GCA_033735115.1
Basidiomycota,GCA_033735015.1
Basidiomycota,GCA_033735095.1
Basidiomycota,GCA_033734175.1
Basidiomycota,GCA_033735475.1
Basidiomycota,GCA_027604815.1
Basidiomycota,GCA_027604875.1
Basidiomycota,GCA_027604765.1
Basidiomycota,GCA_027604835.1
Basidiomycota,GCA_027604795.1
Basidiomycota,GCA_019908695.1
Basidiomycota,GCA_019908715.1
Basidiomycota,GCA_019721835.1
Basidiomycota,GCA_004369125.1
Basidiomycota,GCA_900068985.1
Basidiomycota,GCA_026914185.1
Basidiomycota,GCF_026914185.1
Basidiomycota,GCA_021901695.1
Basidiomycota,GCF_021901695.1
Basidiomycota,GCA_025617555.3
Basidiomycota,GCA_000149925.1
Basidiomycota,GCF_000149925.1
Basidiomycota,GCA_001624995.1
Basidiomycota,GCA_007896445.1
Basidiomycota,GCA_002873125.1
Basidiomycota,GCA_004348175.1
Basidiomycota,GCA_019395275.1
Basidiomycota,GCA_001263375.1
Basidiomycota,GCA_021901655.1
Basidiomycota,GCA_026914245.1
Basidiomycota,GCA_025169535.1
Basidiomycota,GCA_025169555.1
Basidiomycota,GCA_029633885.1
Basidiomycota,GCA_029634005.1
Basidiomycota,GCA_019358815.1
Basidiomycota,GCA_002762355.2
Basidiomycota,GCA_011750755.1
Basidiomycota,GCA_002900275.1
Basidiomycota,GCA_011750625.1
Basidiomycota,GCA_001936605.2
Basidiomycota,GCA_004194325.1
Basidiomycota,GCA_002920065.1
Basidiomycota,GCA_002920205.1
Basidiomycota,GCA_002008965.1
Basidiomycota,GCA_002008935.1
Basidiomycota,GCA_002008925.1
Basidiomycota,GCA_025869495.1
Basidiomycota,GCA_025869475.1
Basidiomycota,GCA_000223505.1
Basidiomycota,GCA_001191645.1
Basidiomycota,GCA_000342545.1
Basidiomycota,GCA_000342525.1
Basidiomycota,GCA_000342565.1
Basidiomycota,GCA_000342625.1
Basidiomycota,GCA_013090125.1
Basidiomycota,GCA_000151525.2
Basidiomycota,GCA_001707215.1
Basidiomycota,GCA_001707095.1
Basidiomycota,GCA_001706745.1
Basidiomycota,GCA_001707415.1
Basidiomycota,GCA_001707345.1
Basidiomycota,GCA_001707035.1
Basidiomycota,GCA_001706825.1
Basidiomycota,GCA_001706815.1
Basidiomycota,GCA_001707045.1
Basidiomycota,GCA_001707295.1
Basidiomycota,GCA_001707655.1
Basidiomycota,GCA_001707075.1
Basidiomycota,GCA_001706785.1
Basidiomycota,GCA_001707355.1
Basidiomycota,GCA_001707385.1
Basidiomycota,GCA_008522505.1
Basidiomycota,GCA_008520325.1
Basidiomycota,GCA_903797515.1
Basidiomycota,GCA_002873275.1
Basidiomycota,GCA_029618625.1
Basidiomycota,GCA_029618635.1
Basidiomycota,GCA_000474995.1
Basidiomycota,GCA_001013415.1
Basidiomycota,GCA_000264995.1
Basidiomycota,GCF_000264995.1
Basidiomycota,GCA_015039355.1
Basidiomycota,GCA_003316465.1
Basidiomycota,GCA_003314545.1
Basidiomycota,GCA_016906535.1
Basidiomycota,GCF_016906535.1
Basidiomycota,GCA_024722335.1
Basidiomycota,GCA_034770255.1
Basidiomycota,GCA_034770285.1
Basidiomycota,GCA_025504695.1
Basidiomycota,GCA_028551635.1
Basidiomycota,GCA_017311305.1
Basidiomycota,GCA_019297585.1
Basidiomycota,GCA_020746845.1
Basidiomycota,GCA_015342405.1
Basidiomycota,GCA_026766895.1
Basidiomycota,GCA_026686785.1
Basidiomycota,GCA_015342435.1
Basidiomycota,GCA_015341985.1
Basidiomycota,GCA_015342415.1
Basidiomycota,GCA_905219585.1
Basidiomycota,GCA_905219615.1
Basidiomycota,GCA_905219545.1
Basidiomycota,GCA_905219625.1
Basidiomycota,GCA_905219655.1
Basidiomycota,GCA_905219635.1
Basidiomycota,GCA_905219565.1
Basidiomycota,GCA_001286725.1
Basidiomycota,GCA_905219575.1
Basidiomycota,GCA_905219645.1
Basidiomycota,GCA_905232135.1
Basidiomycota,GCA_905219605.1
Basidiomycota,GCA_000334115.1
Basidiomycota,GCA_001899475.2
Basidiomycota,GCA_914271525.1
Basidiomycota,GCA_914271495.1
Basidiomycota,GCA_000832345.2
Basidiomycota,GCA_000524645.1
Basidiomycota,GCA_000350255.1
Basidiomycota,GCA_900185085.1
Basidiomycota,GCA_000695385.1
Basidiomycota,GCA_000715385.1
Basidiomycota,GCA_021018865.1
Basidiomycota,GCA_003268435.1
Basidiomycota,GCA_030142035.1
Basidiomycota,GCA_905219595.1
Basidiomycota,GCA_029603245.1
Basidiomycota,GCA_002995295.1
Basidiomycota,GCA_001658105.1
Basidiomycota,GCA_930272055.1
Basidiomycota,GCA_002995055.1
Basidiomycota,GCA_002995095.1
Basidiomycota,GCA_001882365.1
Basidiomycota,GCA_002994865.1
Basidiomycota,GCA_002994995.1
Basidiomycota,GCA_002995315.1
Basidiomycota,GCA_002995455.1
Basidiomycota,GCA_002995475.1
Basidiomycota,GCA_002995415.1
Basidiomycota,GCA_002995065.1
Basidiomycota,GCA_002995395.1
Basidiomycota,GCA_002995275.1
Basidiomycota,GCA_002995375.1
Basidiomycota,GCA_002994825.1
Basidiomycota,GCA_002994895.1
Basidiomycota,GCA_002995355.1
Basidiomycota,GCA_002995195.1
Basidiomycota,GCA_002995115.1
Basidiomycota,GCA_002995015.1
Basidiomycota,GCA_002995215.1
Basidiomycota,GCA_002995245.1
Basidiomycota,GCA_002994855.1
Basidiomycota,GCA_002995335.1
Basidiomycota,GCA_002994955.1
Basidiomycota,GCA_002995035.1
Basidiomycota,GCA_002995235.1
Basidiomycota,GCA_002995175.1
Basidiomycota,GCA_002995135.1
Basidiomycota,GCA_002995155.1
Basidiomycota,GCA_015501585.1
Basidiomycota,GCA_022264815.1
Basidiomycota,GCF_022264815.1
Basidiomycota,GCA_004679265.1
Basidiomycota,GCA_034406715.1
Basidiomycota,GCA_920103745.3
Basidiomycota,GCA_920104245.2
Basidiomycota,GCA_000320785.2
Basidiomycota,GCF_000320785.1
Basidiomycota,GCA_036244875.1
Basidiomycota,GCA_019926025.1
Basidiomycota,GCA_001329695.1
Basidiomycota,GCF_001329695.1
Basidiomycota,GCA_024713535.1
Basidiomycota,GCA_006352295.1
Basidiomycota,GCA_002922495.1
Basidiomycota,GCA_023628235.1
Basidiomycota,GCA_019059545.1
Basidiomycota,GCA_021654155.1
Basidiomycota,GCA_001541205.1
Basidiomycota,GCA_028828645.1
Basidiomycota,GCA_005059875.1
Basidiomycota,GCA_030867695.1
Basidiomycota,GCA_009806315.1
Basidiomycota,GCA_023628275.1
Basidiomycota,GCA_001914285.1
Basidiomycota,GCA_019923515.1
Basidiomycota,GCA_024748845.1
Basidiomycota,GCA_003055205.1
Basidiomycota,GCA_024500305.1
Basidiomycota,GCA_004143675.1
Basidiomycota,GCA_019190935.1
Basidiomycota,GCA_019190035.1
Basidiomycota,GCA_025502755.1
Basidiomycota,GCA_025502865.1
Basidiomycota,GCA_013036505.1
Basidiomycota,GCA_019191065.1
Basidiomycota,GCA_025502925.1
Basidiomycota,GCA_019191075.1
Basidiomycota,GCA_019189395.1
Basidiomycota,GCA_019191155.1
Basidiomycota,GCA_025502885.1
Basidiomycota,GCA_019190965.1
Basidiomycota,GCA_019189475.1
Basidiomycota,GCA_019189485.1
Basidiomycota,GCA_019189915.1
Basidiomycota,GCA_019190635.1
Basidiomycota,GCA_019189885.1
Basidiomycota,GCA_019189345.1
Basidiomycota,GCA_019189675.1
Basidiomycota,GCA_019190765.1
Basidiomycota,GCA_019189905.1
Basidiomycota,GCA_019189595.1
Basidiomycota,GCA_019190895.1
Basidiomycota,GCA_019190345.1
Basidiomycota,GCA_019189525.1
Basidiomycota,GCA_013036805.1
Basidiomycota,GCA_013036655.1
Basidiomycota,GCA_019189665.1
Basidiomycota,GCA_019189415.1
Basidiomycota,GCA_025502915.1
Basidiomycota,GCA_025502725.1
Basidiomycota,GCA_019190505.1
Basidiomycota,GCA_019189795.1
Basidiomycota,GCA_019189755.1
Basidiomycota,GCA_019189545.1
Basidiomycota,GCA_019190525.1
Basidiomycota,GCA_019189985.1
Basidiomycota,GCA_019190605.1
Basidiomycota,GCA_019190135.1
Basidiomycota,GCA_013036475.1
Basidiomycota,GCA_019190885.1
Basidiomycota,GCA_037041355.1
Basidiomycota,GCA_019189785.1
Basidiomycota,GCA_013036825.1
Basidiomycota,GCA_019190015.1
Basidiomycota,GCA_013036905.1
Basidiomycota,GCA_019190585.1
Basidiomycota,GCA_013036365.1
Basidiomycota,GCA_019190495.1
Basidiomycota,GCA_019802805.1
Basidiomycota,GCA_019189975.1
Basidiomycota,GCA_012922695.1
Basidiomycota,GCA_019802895.1
Basidiomycota,GCA_013036735.1
Basidiomycota,GCA_013036305.1
Basidiomycota,GCA_013036615.1
Basidiomycota,GCA_019190805.1
Basidiomycota,GCA_019802905.1
Basidiomycota,GCA_013036595.1
Basidiomycota,GCA_013036715.1
Basidiomycota,GCA_013030385.1
Basidiomycota,GCA_013036955.1
Basidiomycota,GCA_013030395.1
Basidiomycota,GCA_013036755.1
Basidiomycota,GCA_013036895.1
Basidiomycota,GCA_019190625.1
Basidiomycota,GCA_019190905.1
Basidiomycota,GCA_019190145.1
Basidiomycota,GCA_018687845.1
Basidiomycota,GCA_019671035.1
Basidiomycota,GCA_012922765.1
Basidiomycota,GCA_012922825.1
Basidiomycota,GCA_019190795.1
Basidiomycota,GCA_036320835.1
Basidiomycota,GCA_019190235.1
Basidiomycota,GCA_019190245.1
Basidiomycota,GCA_019190375.1
Basidiomycota,GCA_013036515.1
Basidiomycota,GCA_019190745.1
Basidiomycota,GCA_019189995.1
Basidiomycota,GCA_019190705.1
Basidiomycota,GCA_012922805.1
Basidiomycota,GCA_019190265.1
Basidiomycota,GCA_025502745.1
Basidiomycota,GCA_013030415.1
Basidiomycota,GCA_019802825.1
Basidiomycota,GCA_013036355.1
Basidiomycota,GCA_013036835.1
Basidiomycota,GCA_013036665.1
Basidiomycota,GCA_019190125.1
Basidiomycota,GCA_013036385.1
Basidiomycota,GCA_012922835.1
Basidiomycota,GCA_019802915.1
Basidiomycota,GCA_025502945.1
Basidiomycota,GCA_019805405.1
Basidiomycota,GCA_019190365.1
Basidiomycota,GCA_019190385.1
Basidiomycota,GCA_013036525.1
Basidiomycota,GCA_012922725.1
Basidiomycota,GCA_019802925.1
Basidiomycota,GCA_013036445.1
Basidiomycota,GCA_013030405.1
Basidiomycota,GCA_002250355.1
Basidiomycota,GCA_019802815.1
Basidiomycota,GCA_024184655.1
Basidiomycota,GCA_032719295.1
Basidiomycota,GCA_037040695.1
Basidiomycota,GCA_016584205.1
Basidiomycota,GCA_023628195.1
Basidiomycota,GCA_019303655.1
Basidiomycota,GCA_002806785.1
Basidiomycota,GCA_000931965.1
Basidiomycota,GCA_019803015.1
Basidiomycota,GCA_921037615.3
Basidiomycota,GCA_037126585.1
Basidiomycota,GCA_037126745.1
Basidiomycota,GCA_000988875.2
Basidiomycota,GCA_001255795.1
Basidiomycota,GCA_023968905.1
Basidiomycota,GCA_034509285.1
Basidiomycota,GCA_037126565.1
Basidiomycota,GCA_029694785.1
Basidiomycota,GCA_007990605.1
Basidiomycota,GCA_001600155.1
Basidiomycota,GCA_001600215.1
Basidiomycota,GCA_001600115.1
Basidiomycota,GCA_001600135.1
Basidiomycota,GCA_003234015.1
Basidiomycota,GCA_001542305.1
Basidiomycota,GCA_001542265.1
Basidiomycota,GCA_035220585.1
Basidiomycota,GCA_023078535.2
Basidiomycota,GCA_024734855.1
Basidiomycota,GCA_000988805.1
Basidiomycota,GCA_005387725.1
Basidiomycota,GCA_016808315.1
Basidiomycota,GCA_000222205.2
Basidiomycota,GCA_000258745.1
Basidiomycota,GCA_033458335.1
Basidiomycota,GCA_028828615.1
Basidiomycota,GCA_005281665.1
Basidiomycota,GCA_029873615.1
Basidiomycota,GCA_019671115.1
Basidiomycota,GCA_015501985.1
Basidiomycota,GCA_022817825.1
Basidiomycota,GCA_002917965.1
Basidiomycota,GCA_019775595.1
Basidiomycota,GCA_019775605.1
Basidiomycota,GCA_019775375.1
Basidiomycota,GCA_019775385.1
Basidiomycota,GCA_026119225.1
Basidiomycota,GCA_947297645.1
Basidiomycota,GCA_030983975.1
Basidiomycota,GCA_920103735.2
Basidiomycota,GCA_001456015.1
Basidiomycota,GCA_937859235.1
Basidiomycota,GCA_937898295.1
Basidiomycota,GCA_963379285.1
Basidiomycota,GCA_004355085.1
Basidiomycota,GCA_029378245.1
Basidiomycota,GCA_963926505.1
Basidiomycota,GCA_022884055.1
Basidiomycota,GCA_003316435.1
Basidiomycota,GCA_015178965.1
Basidiomycota,GCA_015178925.1
Basidiomycota,GCA_022376545.1
Basidiomycota,GCA_022376525.1
Basidiomycota,GCA_022496215.1
Basidiomycota,GCA_022376555.1
Basidiomycota,GCA_022496225.1
Basidiomycota,GCA_025769875.1
Basidiomycota,GCA_003316425.1
Basidiomycota,GCA_003316565.1
Basidiomycota,GCA_003313715.1
Basidiomycota,GCA_003313725.1
Basidiomycota,GCA_003313875.1
Basidiomycota,GCA_004801975.1
Basidiomycota,GCA_963926515.1
Basidiomycota,GCA_000143185.2
Basidiomycota,GCF_000143185.2
Basidiomycota,GCA_014900015.1
Basidiomycota,GCA_024373065.1
Basidiomycota,GCA_001599475.1
Basidiomycota,GCA_009746505.1
Basidiomycota,GCA_009746475.1
Basidiomycota,GCA_009746485.1
Basidiomycota,GCA_019143605.1
Basidiomycota,GCA_019143275.1
Basidiomycota,GCA_019143295.1
Basidiomycota,GCA_019143235.1
Basidiomycota,GCA_019143255.1
Basidiomycota,GCA_019143565.1
Basidiomycota,GCA_019143385.1
Basidiomycota,GCA_019143365.1
Basidiomycota,GCA_019143355.1
Basidiomycota,GCA_019143345.1
Basidiomycota,GCA_019143055.1
Basidiomycota,GCA_019143245.1
Basidiomycota,GCA_019143615.1
Basidiomycota,GCA_019143575.1
Basidiomycota,GCA_019143625.1
Basidiomycota,GCA_019143375.1
Basidiomycota,GCA_019143045.1
Basidiomycota,GCA_009746445.1
Basidiomycota,GCA_019143065.1
Basidiomycota,GCA_019142965.1
Basidiomycota,GCA_019143085.1
Basidiomycota,GCA_019142975.1
Basidiomycota,GCA_019142955.1
Basidiomycota,GCA_019142945.1
Basidiomycota,GCA_019143075.1
Basidiomycota,GCA_023508785.1
Basidiomycota,GCA_023508725.1
Basidiomycota,GCA_003313685.1
Basidiomycota,GCA_001020605.1
Basidiomycota,GCA_029372045.1
Basidiomycota,GCA_037178675.1
Basidiomycota,GCA_000827425.1
Basidiomycota,GCA_910890315.1
Basidiomycota,GCA_019633565.1
Basidiomycota,GCA_000827415.1
Basidiomycota,GCA_019616975.1
Basidiomycota,GCA_019627725.1
Basidiomycota,GCA_019623665.1
Basidiomycota,GCA_019627685.1
Basidiomycota,GCA_019627745.1
Basidiomycota,GCA_019623675.1
Basidiomycota,GCA_019627755.1
Basidiomycota,GCA_019627735.1
Basidiomycota,GCA_000313545.1
Basidiomycota,GCA_003073295.1
Basidiomycota,GCA_000218685.1
Basidiomycota,GCF_000218685.1
Basidiomycota,GCA_000218725.1
Basidiomycota,GCA_002891385.1
Basidiomycota,GCA_002891375.1
Basidiomycota,GCA_015708795.1
Basidiomycota,GCA_001630475.1
Basidiomycota,GCA_001632355.1
Basidiomycota,GCA_018466975.1
Basidiomycota,GCA_003851025.1
Basidiomycota,GCF_003851025.1
Basidiomycota,GCA_009812315.1
Basidiomycota,GCA_002607745.1
Basidiomycota,GCA_000827215.1
Basidiomycota,GCA_005498985.1
Basidiomycota,GCF_005498985.1
Basidiomycota,GCA_001010845.1
Basidiomycota,GCA_900162835.1
Basidiomycota,GCA_928724755.1
Basidiomycota,GCA_001748505.1
Basidiomycota,GCA_023212695.1
Basidiomycota,GCA_000230245.1
Basidiomycota,GCA_928991175.1
Basidiomycota,GCA_000772675.1
Basidiomycota,GCA_023212615.1
Basidiomycota,GCA_900002365.1
Basidiomycota,GCA_023629955.1
Basidiomycota,GCA_001243155.1
Basidiomycota,GCA_010758995.1
Basidiomycota,GCA_016617785.1
Basidiomycota,GCA_037042985.1
Basidiomycota,GCA_022817875.1
Basidiomycota,GCA_001373355.1
Basidiomycota,GCA_000264905.1
Basidiomycota,GCF_000264905.1
Basidiomycota,GCA_000827255.1
Basidiomycota,GCA_016628565.1
Basidiomycota,GCA_016758785.1
Basidiomycota,GCF_016758785.1
Basidiomycota,GCA_016800925.1
Basidiomycota,GCA_011800875.2
Basidiomycota,GCA_016647635.1
Basidiomycota,GCF_016647635.1
Basidiomycota,GCA_016647685.1
Basidiomycota,GCA_016647745.1
Basidiomycota,GCF_016647745.1
Basidiomycota,GCA_016647785.1
Basidiomycota,GCF_016647785.1
Basidiomycota,GCA_016647755.1
Basidiomycota,GCA_016758755.1
Basidiomycota,GCF_016758755.1
Basidiomycota,GCA_016758765.1
Basidiomycota,GCA_016628075.1
Basidiomycota,GCF_016628075.1
Basidiomycota,GCA_016758775.1
Basidiomycota,GCF_016758775.1
Basidiomycota,GCA_016647625.1
Basidiomycota,GCF_016647625.1
Basidiomycota,GCA_016628065.1
Basidiomycota,GCA_016647645.1
Basidiomycota,GCA_016584345.1
Basidiomycota,GCA_016628085.1
Basidiomycota,GCA_016695485.1
Basidiomycota,GCA_016767475.1
Basidiomycota,GCA_016695465.1
Basidiomycota,GCA_016695475.1
Basidiomycota,GCA_003313855.1
Basidiomycota,GCA_003316505.1
Basidiomycota,GCA_003313085.1
Basidiomycota,GCA_003313645.1
Basidiomycota,GCA_003144125.1
Basidiomycota,GCA_015956445.1
Basidiomycota,GCA_014904855.1
Basidiomycota,GCA_003316405.1
Basidiomycota,GCA_000711695.1
Basidiomycota,GCF_000711695.1
Basidiomycota,GCA_003144115.1
