Phylum,Subphylum,Assembly
Ascomycota,Pezizomycotina,GCA_022344825.1
Ascomycota,Pezizomycotina,GCA_022345305.1
Ascomycota,Pezizomycotina,GCA_022344205.1
Ascomycota,Pezizomycotina,GCA_022344295.1
Ascomycota,Pezizomycotina,GCA_022344765.1
Ascomycota,Pezizomycotina,GCA_022344465.1
Ascomycota,Pezizomycotina,GCA_022344435.1
Ascomycota,Pezizomycotina,GCA_022344265.1
Ascomycota,Pezizomycotina,GCA_022344555.1
Ascomycota,Pezizomycotina,GCA_022344145.1
Ascomycota,Pezizomycotina,GCA_022344655.1
Ascomycota,Pezizomycotina,GCA_022344135.1
Ascomycota,Pezizomycotina,GCA_022344895.1
Ascomycota,Pezizomycotina,GCA_022344165.1
Ascomycota,Pezizomycotina,GCA_022344485.1
Ascomycota,Pezizomycotina,GCA_022344625.1
Ascomycota,Pezizomycotina,GCA_022345185.1
Ascomycota,Pezizomycotina,GCA_022344985.1
Ascomycota,Pezizomycotina,GCA_022344355.1
Ascomycota,Pezizomycotina,GCA_022345335.1
Ascomycota,Pezizomycotina,GCA_022344745.1
Ascomycota,Pezizomycotina,GCA_022344775.1
Ascomycota,Pezizomycotina,GCA_022344875.1
Ascomycota,Pezizomycotina,GCA_022345155.1
Ascomycota,Pezizomycotina,GCA_022345245.1
Ascomycota,Pezizomycotina,GCA_022344665.1
Ascomycota,Pezizomycotina,GCA_022345085.1
Ascomycota,Pezizomycotina,GCA_022344925.1
Ascomycota,Pezizomycotina,GCA_022344545.1
Ascomycota,Pezizomycotina,GCA_022344885.1
Ascomycota,Pezizomycotina,GCA_001696825.1
Ascomycota,Pezizomycotina,GCA_022345265.1
Ascomycota,Pezizomycotina,GCA_022344495.1
Ascomycota,Pezizomycotina,GCA_022344905.1
Ascomycota,Pezizomycotina,GCA_022344225.1
Ascomycota,Pezizomycotina,GCA_022344635.1
Ascomycota,Pezizomycotina,GCA_022344615.1
Ascomycota,Pezizomycotina,GCA_022344955.1
Ascomycota,Pezizomycotina,GCA_022344505.1
Ascomycota,Pezizomycotina,GCA_004634295.1
Ascomycota,Pezizomycotina,GCA_022345275.1
Ascomycota,Pezizomycotina,GCA_004154765.1
Ascomycota,Pezizomycotina,GCA_017589455.1
Ascomycota,Pezizomycotina,GCA_004156015.1
Ascomycota,Pezizomycotina,GCA_004154735.1
Ascomycota,Pezizomycotina,GCA_002837235.1
Ascomycota,Pezizomycotina,GCA_004154845.1
Ascomycota,Pezizomycotina,GCA_004154745.1
Ascomycota,Pezizomycotina,GCA_004168565.1
Ascomycota,Pezizomycotina,GCA_036363465.1
Ascomycota,Pezizomycotina,GCA_023079265.1
Ascomycota,Pezizomycotina,GCA_020736785.1
Ascomycota,Pezizomycotina,GCA_004155955.1
Ascomycota,Pezizomycotina,GCA_027569655.1
Ascomycota,Pezizomycotina,GCA_027569035.1
