Row,Genus,Phylum,Subphylum,class,Family,Sp,Strain,Assembly,NA
12000,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036295.2,1
12001,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949122555.1,1
12002,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036475.2,1
12003,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123125.1,1
12004,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036335.2,1
12005,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123915.1,1
12006,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036455.2,1
12007,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123795.1,1
12008,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036095.2,1
12009,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949122235.1,1
12010,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036235.2,1
12011,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123935.1,1
12012,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036115.2,1
12013,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123435.1,1
12014,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036155.2,1
12015,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949122215.1,1
12016,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949121745.1,1
12017,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036135.2,1
12018,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123835.1,1
12019,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036175.2,1
12020,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123715.1,1
12021,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123195.1,1
12022,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,DJJ01,GCA_023375095.1,1
12023,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,MCN1500_3B,GCA_900178115.1,1
12024,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036315.2,1
12025,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949122505.1,1
12026,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123295.1,1
12027,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI1430,GCA_013183905.1,1
12028,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NBRC.2375,GCA_030267605.1,1
12029,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949121635.1,1
12030,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NBRC.2044,GCA_030267525.1,1
12031,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NBRC.1346,GCA_030267465.1,1
12032,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,WLP500,GCA_013181185.1,1
12033,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NBRC.2043,GCA_030267645.1,1
12034,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_029301735.1,1
12035,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NBRC.110416,GCA_030267545.1,1
12036,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI795,GCA_013183875.1,1
12037,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI767,GCA_013183865.1,1
12038,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_029290615.1,1
12039,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_946466885.1,1
12040,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI2911,GCA_013181305.1,1
12041,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NCYC1414,GCA_947343375.1,1
12042,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI1427,GCA_013181225.1,1
12043,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_900178035.1,1
12044,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_946462225.1,1
12045,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_029300775.1,1
12046,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI935,GCA_013183845.1,1
12047,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI1432,GCA_013181245.1,1
12048,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_900178055.1,1
12049,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,6P-33G-D373,GCA_001578385.1,1
12050,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_900177965.1,1
12051,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,yHQL694,GCA_009667455.1,1
12052,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_900177955.1,1
12053,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,W303,GCA_001305865.1,1
12054,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,YJM428,GCA_011393095.1,1
12055,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,Lalvin.L2056,GCA_001611835.1,1
12056,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,Y9,GCA_011393125.1,1
12057,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,CLIB324,GCA_000192495.1,1
12058,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,Y10,GCA_000192375.1,1
12059,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,IL-01,GCA_013368685.1,1
12060,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NC-02,GCA_013368665.1,1
12061,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,CLIB382,GCA_000209345.1,1
12062,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,pastorianus,CBS.1174,GCA_013181535.1,1
12063,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,uvarum,S6U,GCA_013183795.1,1
12064,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,eubayanus,NA,GCA_937872545.1,1
12065,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,kudriavzevii,FM1057,GCA_000256745.1,1
12066,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,kudriavzevii,FM1062,GCA_000256785.1,1
12067,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,kudriavzevii,FM1066,GCA_000256765.1,1
12068,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,kudriavzevii,FM1094,GCA_000256965.1,1
12069,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,FM1203,GCA_009667225.1,1
12070,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,eubayanus,yHQL565,GCA_009666965.1,1
12071,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,yHQL574,GCA_009666835.1,1
12072,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,F,GCA_025383845.1,1
12073,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,XP,GCA_029403705.1,1
12074,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_000091065.2,1
12075,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,S288C,GCA_022626425.1,1
12076,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,phalluae,GUCC.202006,GCA_020342235.1,1
12077,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fibuligera,KPH12,GCA_001936155.1,1
12078,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,malanga,KCN26,GCA_004014935.1,1
12079,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fibuligera,KJJ81,GCA_001936135.1,1
12080,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,guyanensis,CBS.12914,GCA_030578595.1,1
12081,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fodiens,CBS.8332,GCA_002564235.1,1
12082,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,microspora,CBS.6393,GCA_031125455.1,1
12083,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,lassenensis,CBS.8524,GCA_031125475.1,1
12084,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fermentans,CBS.7830,GCA_002564245.1,1
12085,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,javanensis,CBS.2555,GCA_031125485.1,1
12086,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,babjevae,CBS.9167,GCA_031125705.1,1
12087,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,oosterbeekiorum,CBS.14943,GCA_031125405.1,1
12088,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,amapae,CBS.7872,GCA_031125765.1,1
12089,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,vini,CBS.4110,GCA_031124825.1,1
12090,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,SC-9,GCA_037102585.1,1
12091,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,synnaedendra,CBS.7763,GCA_031124835.1,1
12092,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,capsularis,CBS.7262,GCA_031125595.1,1
12093,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,sp.,yHQL182,GCA_030490795.1,1
12094,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,sp.,UWO(PS).91-127.1,GCA_002895615.1,1
12095,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,schoenii,CBS.7425,GCA_010994365.1,1
12096,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,sp.,NA,GCA_030450195.1,1
12097,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,sp.,NRRL.Y-5750,GCA_030564765.1,1
12098,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,selenospora,NRRL.Y-1357,GCA_030583325.1,1
12099,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,olivae,CBS.12701,GCA_030571755.1,1
12100,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,sp.,CD511,GCA_037355385.1,1
12101,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fibuligera,ATCC.36309,GCA_001936275.1,1
12102,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fibuligera,ACX0001,GCA_023497445.1,1
12103,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fibuligera,NRRL.Y-2388,GCA_030583195.1,1
12104,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fibuligera,CBS.329.83,GCA_031126305.1,1
12105,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,malanga,NRRL.Y-7175,GCA_030571695.1,1
12106,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,malanga,JCM.7620,GCA_001599215.1,1
12107,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,guyanensis,CBS.12914,GCA_031125505.1,1
12108,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fodiens,CBS.8332,GCA_031125535.1,1
12109,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,synnaedendra,CBS.6161,GCA_031124815.1,1
12110,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fodiens,NRRL.Y-48786,GCA_030556795.1,1
12111,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fermentans,CBS.7830,GCA_031125555.1,1
12112,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,capsularis,NRRL.Y-17639,GCA_030555645.1,1
12113,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,capsularis,NRRL.Y-17639,GCA_003243015.1,1
12114,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,capsularis,NRRL.Y-17639,GCA_003705375.1,1
12115,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,lassenensis,NRRL.YB-3657,GCA_030583215.1,1
12116,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,microspora,NRRL.Y-7404,GCA_030575275.1,1
12117,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,schoenii,CBS.7223,GCA_031125275.1,1
12118,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,oosterbeekiorum,CBS.14943,GCA_030556975.1,1
12119,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,schoenii,NRRL.Y-17595,GCA_030575075.1,1
12120,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fermentans,NRRL.Y-17710,GCA_030562025.1,1
12121,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,selenospora,CBS.2562,GCA_031125215.1,1
12122,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,capsularis,CBS.2519,GCA_031125685.1,1
12123,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,CBS.6447,GCA_031125585.1,1
12124,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,CBS.6447,GCA_010994405.1,1
12125,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,javanensis,NRRL.Y-1483,GCA_030575215.1,1
12126,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,NRRL.Y-5902,GCA_030575235.1,1
12127,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fibuligera,MBY1320,GCA_012062855.1,1
12128,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fibuligera,CBS.7434,GCA_031126225.1,1
12129,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,malanga,CBS.6531,GCA_031126125.1,1
12130,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,capsularis,CBS.5638,GCA_031125625.1,1
12131,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,capsularis,CBS.5064,GCA_031125665.1,1
12132,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,capsularis,CBS.5063,GCA_031125675.1,1
12133,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,babjevae,NRRL.Y-48737,GCA_030564985.1,1
12134,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,lassenensis,CD509,GCA_037355495.1,1
12135,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,CBS.6448,GCA_031125575.1,1
12136,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,amapae,NRRL.Y-17845,GCA_030562005.1,1
12137,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,selenospora,CBS.2563,GCA_031125185.1,1
12138,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,sp.,CD498,GCA_037355555.1,1
12139,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,vini,CBS.8420,GCA_031124845.1,1
12140,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,vini,CBS.4097,GCA_031124935.1,1
12141,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,schoenii,CD502,GCA_037355565.1,1
12142,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,YB-502,GCA_031762995.1,1
12143,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,Y-5904,GCA_031126345.1,1
12144,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,CBS.7190,GCA_031126365.1,1
12145,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,YB-192,GCA_031126325.1,1
12146,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,Y-5902,GCA_031125565.1,1
12147,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,Y-17125,GCA_031126435.1,1
12148,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,crataegensis,PYCC8280,GCA_031126355.1,1
12149,Saitoella,Ascomycota,Taphrinomycotina,,NA,complicata,NRRL.Y-17804,GCA_001661265.1,1
12150,Saitoella,Ascomycota,Taphrinomycotina,,NA,complicata,NRRL.Y-17804,GCF_001661265.1,1
12151,Saitoella,Ascomycota,Taphrinomycotina,,NA,complicata,NRRL.Y-17804,GCA_000227095.3,1
12152,Sarocladium,Ascomycota,Pezizomycotina,Sordariomycetes,Sarocladiaceae,brachiariae,HND5,GCA_008271525.1,1
12153,Sarocladium,Ascomycota,Pezizomycotina,Sordariomycetes,Sarocladiaceae,strictum,F4-1,GCA_030435815.1,1
12154,Sarocladium,Ascomycota,Pezizomycotina,Sordariomycetes,Sarocladiaceae,kiliense,ZJ-1,GCA_030734395.1,1
12155,Sarocladium,Ascomycota,Pezizomycotina,Sordariomycetes,Sarocladiaceae,oryzae,JCM.12450,GCA_001972265.1,1
12156,Sarocladium,Ascomycota,Pezizomycotina,Sordariomycetes,Sarocladiaceae,implicatum,TR,GCA_021176775.1,1
12157,Sarocladium,Ascomycota,Pezizomycotina,Sordariomycetes,Sarocladiaceae,terricola,RCEF6201,GCA_029379155.1,1
12158,Sarocladium,Ascomycota,Pezizomycotina,Sordariomycetes,Sarocladiaceae,oryzae,LH_A518,GCA_037043775.1,1
12159,Sarocladium,Ascomycota,Pezizomycotina,Sordariomycetes,Sarocladiaceae,strictum,NA,GCA_900290465.1,1
12160,Sarocladium,Ascomycota,Pezizomycotina,Sordariomycetes,Sarocladiaceae,oryzae,NA,GCA_001605845.1,1
12161,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,zaruensis,NRRL.Y-7008,GCA_003705435.2,1
12162,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,silvae,NRRL.Y-6725,GCA_030579555.1,1
12163,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,gosingensis,NRRL.Y-48718,GCA_030570395.1,1
12164,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,saitoi,NRRL.Y-6671,GCA_030579535.1,1
12165,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,ahearnii,NRRL.Y-7555,GCA_030564945.1,1
12166,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,halmiae,CBS.11009T,GCA_030563645.1,1
12167,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,serradocipensis,NRRL.Y-48717,GCA_030570415.1,1
12168,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,quitensis,CBS.12184,GCA_030581435.1,1
12169,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,hagleri,NRRL.Y-27828,GCA_003707255.2,1
12170,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,kantuleensis,CBS.15217,GCA_030557035.1,1
12171,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,bothae,UFMG-CM-Y292,GCA_030462855.1,1
12172,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,mendoncae,NRRL.Y-11515,GCA_030564545.1,1
12173,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,diversa,NRRL.Y-5713,GCA_030560905.1,1
12174,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,sekii,CBS.10931T,GCA_030563565.1,1
12175,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,dispora,NRRL.Y-1447,GCA_003708095.3,1
12176,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,sanitii,CBS.10864,GCA_030563185.1,1
12177,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,besseyi,NRRL.Y-63574,GCA_030571455.1,1
12178,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,galanensis,CBS.15223,GCA_030584985.1,1
12179,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,saitoi,NRRL.Y-6671,GCA_003707305.1,1
12180,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,silvae,NRRL.Y-6725,GCA_003707315.2,1
12181,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,mendoncae,NRRL.Y-11515,GCA_003705365.1,1
12182,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,dispora,NRRL.Y-1447,GCA_003243065.1,1
12183,Saturnispora,Ascomycota,Saccharomycotina,Saccharomycetes,Pichiaceae,serradocipensis,NRRL.Y-48717,GCA_003705415.1,1
12184,Scheffersomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,stipitis,CBS.6054,GCA_000209165.1,1
12185,Scheffersomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,stipitis,CBS.6054,GCF_000209165.1,1
12186,Scheffersomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,segobiensis,NRRL.Y-11571,GCA_030564745.1,1
12187,Scheffersomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,amazonensis,UFMG-HMD-26.3,GCA_036850825.1,1
12188,Scheffersomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,lignosus,JCM.9837,GCA_001599395.1,1
12189,Scheffersomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,quercinus,NRRL.Y-48825,GCA_030556775.1,1
12190,Scheffersomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,ergatensis,NRRL.Y-17652,GCA_030575095.1,1
12191,Scheffersomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,cryptocercus,NRRL.Y-48824,GCA_030555905.1,1
12192,Scheffersomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomycetaceae,virginianus,NRRL.Y-48822,GCA_030565005.1,1
